"Titolo","Codice","Tipo","Volume","Autore (Cognome, Nome)","Autore (Cognome, Nome) copy","Autore (Cognome, Nome) copy copy","Anno di pubblicazione","Luogo","Editore","Tags","Fondo","Fondo (from Fondo)","pdf","Immagine","Collocazione","Disclaimer"
"Autogestione e problemi della transizione","01.1.AAVAUT","Libro edito","","AAVV","","","1975","Venezia-Padova","Marsilio editori","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"La bibbia delle famiglie","01.1.AAVBIB","Libro edito","","AAVV","","","1961","Roma","Edizioni Paoline","Religione","Venturati","Venturati","","","Biblioteca",""
"Cinquant'anni di Concordato","01.1.AAVCIN","Libro edito","","AAVV","","","1979","Firenze ","La Nuova Italia","Politica,Chiesa","Venturati","Venturati","","","Biblioteca",""
"Contributi a un'analisi del capitalismo italiano ","01.1.AAVCON","Libro edito","","AAVV","","","1972","Padova","Marsilio ","Economia,Politica","Venturati","Venturati","","","Biblioteca",""
"Crisi della DC e alternativa socialista","01.1.AAVCRI","Libro edito","","AAVV","","","1975","Venezia-Padova","Marsilio Editori","Politica,Socialismo","Venturati","Venturati","","","Biblioteca",""
"Dall'origine della terra all'homo sapiens","01.1.AAVDAL","Libro edito","","AAVV","","","1958","Milano-Roma","Edizioni Avanti!","Storia","Venturati","Venturati","","","Biblioteca",""
"La Dc dopo il primo ventennio","01.1.AAVDCD","Libro edito","","AAVV","","","1968","Padova","Marsilio Editore","Politica,Storia,Democrazia Cristiana","Venturati","Venturati","","","Biblioteca",""
"Dibattito sulla scuola","01.1.AAVDIB","Libro edito","","AAVV","","","1956","Bari","Laterza","Politica,Educazione","Venturati","Venturati","","","Biblioteca",""
"La Ginnastica Intellettuale. Esercizi e consigli pratici per sviluppare l’intelligenza ","01.1.AAVGIN","Libro edito","","AAVV","","","1922","Milano ","Istituito Hermes Editore","Educazione","Venturati","Venturati","","","Biblioteca",""
"L’arte di parlare in Pubblico. Come si impara a improvvisare un discorso ","01.1.AAVLARI","Libro edito","","AAVV","","","1928","Milano ","Istituto Hermes Editore","Educazione","Venturati","Venturati","","","Biblioteca",""
"L’arte di ragionare. Come si impara a ragionare e giudicare colla propria testa ","01.1.AAVLARR","Libro edito","","AAVV","","","1928","Milano ","Istituto Hermes Editore","Educazione,Filosofia","Venturati","Venturati","","","Biblioteca",""
